countries,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,,,,,,,,,,28167.0,28004.0,27934.0,27925.0,27926.4,28152.533333333333,28522.8,28980.6,29436.0,29768.8,30020.266666666663,30448.8,30898.8,31312.6,31880.6,32336.0,32436.4,32463.6,32355.6,32271.6,32548.4,32818.0,32997.0,33336.8,33731.4,33824.0,33940.25,34179.0
Canada,25860.666666666668,26156.5,26424.6,26839.2,26815.8,26788.2,26511.0,26227.4,25974.8,25693.0,25387.8,25370.4,25379.2,25507.6,26118.2,26749.6,27212.2,27636.8,28156.0,28529.0,29079.8,29736.0,30329.6,30830.0,31351.2,31735.0,32086.2,32468.2,32882.2,33165.4,33528.4,33895.0,34306.0,34982.4,35618.0,35927.75,36319.0
Colombia,,,,,,,,,,,,,,,,,3639.6666666666665,3644.25,3704.0,3770.6,3907.8,4046.8,4216.6,4384.2,4616.8,4847.2,5091.2,5362.8,5599.6,5754.4,5867.8,5936.2,5922.0,5737.4,5581.4,5490.5,5333.0
France,,,,,,21939.166666666668,21939.166666666668,21939.166666666668,,,,23001.666666666668,23168.75,23348.2,23713.2,24224.6,24601.6,24914.0,25189.8,25453.6,25634.0,25925.8,26247.8,26510.0,26642.2,26658.4,26603.8,26532.0,26509.2,26574.0,26711.2,26812.0,26985.6,27233.4,27470.2,27576.5,27778.333333333332
Germany,25030.666666666668,25437.5,25759.8,26582.8,26749.4,26889.8,26835.4,26610.0,26154.4,26171.0,25997.8,26006.6,26207.6,26544.2,26700.4,27095.4,27296.2,27399.8,27283.2,27315.0,27249.6,27211.6,27253.6,27427.4,27501.0,27504.8,27543.2,27563.2,27714.6,28040.4,28490.0,29119.6,29807.6,30613.2,31256.6,31675.75,32039.666666666668
Ireland,,,12081.0,12081.0,12081.0,,,,,16054.333333333334,16607.5625,17204.15,17676.4375,19259.6875,20873.4375,22446.875,23811.0,24087.6,24903.0,25879.2,26563.4,26637.6,26421.8,25917.8,24804.8,23799.0,23375.6,23490.4,23927.4,24646.0,25815.2,26979.6,28103.6,29317.6,30565.4,31007.0,31635.0
Israel,,12383.5,12383.5,12383.5,,,,14203.0,14203.0,14203.0,14264.666666666666,14447.583333333334,14751.75,14751.75,15052.3125,15065.5625,15042.125,15065.5,15186.0,15206.2,15724.4,16249.4,16624.6,17036.6,17386.4,17756.8,18296.6,18954.8,19698.0,20518.0,21372.8,22140.8,22684.6,22957.2,23161.8,23172.0,22955.333333333332
Luxembourg,28867.0,29694.25,30369.4,32013.6,33137.4,34407.2,35349.6,35815.6,36063.2,36265.8,36223.0,36110.0,36591.6,36947.2,37475.4,38201.4,39274.2,40181.8,41056.6,41794.8,42277.4,42426.8,42602.6,42606.6,42495.8,42133.6,41866.4,41586.6,41568.8,42158.6,42408.2,42926.4,43158.6,44092.0,44894.4,45581.5,46212.333333333336
Sweden,,,16268.0,16268.0,16268.0,17108.0,17650.88888888889,17896.666666666668,17703.0,17704.0,17706.0,17658.333333333332,17708.0,18684.666666666668,19772.666666666668,20824.666666666668,21014.5,21243.8,21747.6,22228.6,22889.4,23622.8,24317.8,25007.8,25669.8,26120.2,26572.0,27093.0,27651.4,28216.6,28720.6,29075.8,29390.6,29674.4,29915.8,30013.25,30255.666666666668
United Kingdom,15661.0,16123.75,16446.2,17122.4,17692.6,18027.0,18078.6,18214.8,18236.2,18389.6,18764.4,19339.0,19880.4,20623.0,21388.4,22096.0,22735.6,23399.4,23921.4,24324.6,24769.6,25121.0,25287.2,25372.6,25273.8,25087.2,24951.4,25004.6,25139.8,25463.0,25821.0,26148.0,26554.4,26770.2,27067.8,27203.5,27420.0
United States,30356.333333333332,30595.25,30811.2,31086.2,31101.8,30867.4,30576.4,30291.8,30327.2,30484.2,30793.6,31451.2,32190.2,32843.6,33378.0,33814.0,34033.2,34018.8,33990.8,34050.4,34142.0,33993.4,33979.8,33863.2,33631.6,33384.0,33310.4,33093.6,33195.4,33832.6,34482.0,35441.8,36928.6,38541.0,39746.4,40566.0,41445.0
