country,years_all_vars_available
Australia,1989
Austria,1994
Belgium,1988
Canada,1988
Chile,1990
Colombia,2001
Costa Rica,
Czech Republic,1992
Denmark,1992
Estonia,2000
Finland,1991
France,1990
Germany,1988
Greece,1995
Hungary,1991
Iceland,2003
Ireland,1994
Israel,1992
Italy,1989
Japan,2008
Korea,
Latvia,
Lithuania,2009
Luxembourg,1988
Mexico,1989
Netherlands,1990
New Zealand,
Norway,1991
Poland,1992
Portugal,
Slovak Republic,
Slovenia,1997
Spain,1990
Sweden,1992
Switzerland,1992
Turkey,
United Kingdom,1988
United States,1988
