countries,decomposition,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,Homewowners,,3.11,,,3.29,,,,3.91,,,6.52,,5.35,,,5.6,,,5.96,4.48,5.56,6.07,5.51,4.98,5.16,4.67,4.69,4.0,4.06,4.03,4.44,3.88,4.02,3.6,3.72,2.8,3.18,,,
Belgium,Not homeowners,,7.47,,,8.49,,,,8.42,,,15.67,,15.55,,,16.78,,,18.66,18.59,19.43,21.07,19.83,21.41,21.86,24.01,22.72,25.92,24.08,22.01,23.25,25.01,27.03,19.54,18.89,17.74,19.15,,,
Brazil,Homewowners,20.76,21.66,21.01,22.96,22.85,23.17,23.24,,22.91,22.49,,24.14,24.5,23.36,23.0,22.3,,21.78,20.65,21.03,21.41,19.6,18.92,19.27,18.81,18.76,,18.25,17.75,17.43,16.92,17.56,,,,,,,,,
Brazil,Not homeowners,22.48,23.52,23.63,24.18,25.29,25.71,26.56,,26.27,25.4,,26.94,27.23,25.97,25.28,25.19,,25.2,24.33,24.72,24.85,23.17,22.6,22.79,23.02,23.05,,21.31,21.26,21.77,20.84,21.22,,,,,,,,,
Canada,Homewowners,8.21,7.36,7.04,6.83,6.35,5.83,6.55,5.99,6.13,6.03,5.56,5.74,6.9,6.49,6.46,6.64,7.17,7.19,6.95,7.26,7.46,7.36,7.06,6.83,6.82,7.11,6.83,6.44,7.06,7.45,6.73,7.25,6.36,6.28,6.55,6.1,4.45,5.72,,,
Canada,Not homeowners,27.46,26.64,22.11,22.87,23.97,21.06,22.44,22.65,24.21,23.99,24.95,25.0,25.97,26.21,26.83,26.38,26.1,26.11,28.34,28.95,29.66,29.15,27.42,28.37,28.81,29.47,29.61,29.1,31.65,31.36,29.59,32.71,27.61,28.28,26.77,26.59,19.53,19.83,,,
Taiwan,Homewowners,,,5.38,,,,,6.69,,,,8.25,,7.93,,,8.25,,,,,9.3,,9.59,,,11.19,,,10.35,,,9.66,10.08,10.13,10.66,10.35,10.73,,,
Taiwan,Not homeowners,,,4.46,,,,,5.35,,,,10.82,,10.04,,,9.65,,,,,11.49,,15.31,,,17.33,,,13.93,,,12.55,15.92,14.05,11.14,9.07,11.42,,,
Denmark,Homewowners,,,,8.42,,,,,4.22,,,,,,,,,,,,3.11,,,2.95,,,2.69,,,2.03,,2.75,2.8,2.6,2.71,2.64,2.59,2.62,2.71,,
Denmark,Not homeowners,,,,12.99,,,,,11.66,,,,,,,,,,,,10.55,,,8.94,,,9.11,,,8.36,,14.02,14.23,15.0,14.83,14.72,14.64,14.34,14.48,,
France,Homewowners,,,,,,,,,,,,,4.9,4.59,4.31,4.27,4.18,4.09,4.3,4.07,4.07,3.74,3.66,3.66,3.62,4.22,4.17,3.68,3.74,,,,,,,,,4.11,4.1,,
France,Not homeowners,,,,,,,,,,,,,13.99,14.16,13.41,13.77,13.91,13.78,13.55,14.19,13.89,15.65,15.75,16.0,16.2,16.13,16.55,17.5,17.96,,,,,,,,,17.81,17.43,,
Germany,Homewowners,4.58,4.39,4.2,4.88,4.56,4.51,3.96,4.54,4.39,3.86,3.95,3.67,4.31,2.98,3.21,3.13,3.0,3.12,3.32,3.05,2.97,3.26,3.51,3.49,3.54,3.68,4.22,3.87,3.42,3.69,3.5,3.57,3.25,3.49,3.51,3.02,4.93,4.42,5.17,,
Germany,Not homeowners,10.54,9.2,8.7,9.04,8.8,7.23,9.47,10.43,10.31,8.95,11.35,10.66,9.58,9.7,9.89,10.88,11.45,11.5,12.1,12.46,12.56,14.1,13.71,13.21,14.21,15.06,14.37,13.33,14.93,14.65,15.76,16.22,16.31,17.31,16.94,18.56,17.34,17.66,18.51,,
Israel,Homewowners,,,,,,,,,8.85,,,,,10.83,,,,13.81,14.22,16.25,17.52,17.93,18.44,17.19,17.8,16.84,18.83,17.23,18.13,16.28,16.98,16.71,17.16,15.91,15.73,16.61,16.12,15.97,,,
Israel,Not homeowners,,,,,,,,,15.05,,,,,21.52,,,,21.61,25.04,22.01,26.49,24.09,23.4,23.76,22.06,28.36,24.08,26.48,21.88,23.6,25.37,27.91,22.83,25.3,21.74,21.6,21.71,22.8,,,
Luxembourg,Homewowners,,3.36,4.08,3.26,3.34,3.53,3.16,3.39,3.76,2.98,3.31,3.06,2.59,3.56,3.48,3.51,3.51,3.53,3.77,4.75,4.34,4.87,3.38,3.72,3.74,3.63,2.64,3.42,3.82,3.81,3.63,5.13,5.72,4.93,5.45,4.22,4.16,6.1,4.96,7.3,
Luxembourg,Not homeowners,,10.32,11.34,9.23,9.07,7.68,8.49,8.27,8.85,6.86,18.43,15.2,19.28,14.99,13.92,15.32,13.02,12.61,12.13,16.88,16.0,17.58,17.34,15.64,18.37,16.56,14.34,17.08,19.68,19.09,17.94,21.68,19.93,21.19,21.69,21.8,18.73,16.74,14.44,11.39,
Mexico,Homewowners,19.78,,,,,19.97,,,19.86,,21.56,,20.75,,23.54,,23.14,,21.24,,18.63,19.94,17.9,,20.86,,20.17,,20.13,,17.97,,17.61,,17.1,,16.82,,15.54,,
Mexico,Not homeowners,15.48,,,,,14.05,,,14.66,,18.43,,14.11,,16.46,,15.04,,14.92,,16.56,14.64,14.46,,17.51,,15.78,,16.44,,14.55,,14.94,,14.2,,16.22,,14.26,,
Netherlands,Homewowners,,,,5.3,,,4.15,,,5.78,,,,,,1.82,,,,,4.35,3.6,2.84,2.34,3.25,3.09,2.02,2.64,2.24,2.18,2.16,2.51,3.04,3.43,3.14,3.02,3.19,3.57,,,
Netherlands,Not homeowners,,,,2.9,,,9.76,,,11.66,,,,,,10.95,,,,,9.86,10.2,11.48,11.08,11.03,10.43,11.68,12.78,12.66,14.24,13.92,16.74,17.69,16.95,16.7,18.18,21.45,22.42,,,
Norway,Homewowners,,,2.58,,,,,,,,,,,,,,,,,,,,,2.48,,,2.04,,,2.14,,,2.27,,,2.29,2.3,2.19,2.2,,
Norway,Not homeowners,,,13.89,,,,,,,,,,,,,,,,,,,,,20.85,,,21.9,,,22.63,,,24.7,,,25.56,25.38,23.89,24.68,,
Poland,Homewowners,,,8.57,,,,,,6.0,,,14.91,,,,8.26,,,,,9.38,9.01,8.56,7.95,8.49,8.88,8.3,8.62,8.56,8.89,8.59,8.93,7.51,6.62,6.94,7.46,8.62,9.46,9.77,9.39,
Poland,Not homeowners,,,12.85,,,,,,5.42,,,6.24,,,,10.99,,,,,16.0,15.55,14.53,13.43,12.91,13.9,14.16,14.15,15.54,14.86,15.06,13.93,11.15,9.84,10.51,11.47,12.95,13.48,12.92,13.42,
Spain,Homewowners,,9.65,,,,,9.43,,,11.36,10.64,10.15,12.47,11.93,12.58,12.53,12.54,,,,12.43,13.06,11.69,10.32,10.98,11.45,10.7,10.44,9.84,11.4,11.03,10.84,10.75,9.95,9.47,9.61,9.62,9.58,9.76,,
Spain,Not homeowners,,12.23,,,,,12.17,,,19.6,21.21,19.69,23.63,19.87,22.65,21.79,21.36,,,,25.84,24.6,22.19,29.35,27.18,28.63,26.6,29.27,29.32,31.94,30.39,31.53,32.54,29.78,28.6,29.12,31.41,28.62,24.93,,
Sweden,Homewowners,,,,3.91,,,,,3.61,,,2.24,,,,,3.2,3.36,3.21,2.86,2.38,2.46,2.35,3.09,2.77,3.03,3.11,3.02,3.06,4.51,4.29,4.34,4.05,3.44,4.26,4.01,3.26,3.78,,,
Sweden,Not homeowners,,,,10.08,,,,,10.52,,,12.74,,,,,10.11,10.47,10.55,9.85,9.39,9.64,10.83,13.14,13.36,13.93,17.89,17.57,17.81,20.31,21.37,20.23,20.47,23.15,20.65,20.65,21.26,20.37,,,
United Kingdom,Homewowners,3.85,4.07,4.85,6.26,6.73,6.53,7.63,7.54,7.86,7.77,7.82,8.26,7.59,7.99,8.25,8.31,7.7,7.47,7.59,7.12,6.39,6.66,7.18,7.47,6.71,6.84,6.32,6.02,6.31,5.92,6.03,6.63,6.7,6.85,6.82,7.59,7.39,7.42,,,
United Kingdom,Not homeowners,7.32,9.14,11.02,14.78,23.52,23.21,28.48,29.19,25.29,23.89,18.4,17.35,21.47,21.78,22.78,22.95,23.22,21.62,20.63,19.46,17.64,18.29,18.86,18.73,17.41,14.79,13.86,12.1,12.38,12.45,13.48,13.33,13.69,14.9,14.04,15.88,11.88,13.96,,,
United States,Homewowners,10.95,10.8,10.78,10.3,10.49,10.36,9.57,9.74,10.14,10.04,9.67,9.36,9.61,9.7,10.02,10.29,10.49,10.67,11.05,10.95,10.51,10.17,10.52,10.98,10.15,9.39,9.89,9.66,9.98,10.21,9.91,9.88,10.93,11.35,11.41,11.48,10.31,10.03,11.85,11.26,
United States,Not homeowners,32.94,32.16,32.87,34.01,32.07,32.17,32.0,32.64,33.04,32.56,31.58,30.83,31.46,31.92,32.7,32.22,31.16,31.75,32.61,33.81,32.38,32.62,31.84,32.8,32.45,28.58,29.5,28.77,29.06,28.27,26.4,26.07,28.13,28.03,28.99,30.61,27.17,23.66,29.27,30.23,
