countries,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,,,,,,,,,9.17,,,,,14.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,21.72,22.62,22.74,24.23,24.46,24.54,25.13,,25.09,24.28,,25.76,25.91,25.65,25.06,24.6,,24.35,23.21,23.66,24.21,22.49,22.48,22.89,22.07,22.31,,21.93,21.64,21.5,20.86,21.23,23.3,23.98,23.58,24.62,25.58,25.42,23.88,,
Canada,,,,,,,,,,,,,23.83,23.46,23.48,23.02,22.57,22.4,22.03,22.21,22.35,21.9,21.79,21.43,21.72,22.39,22.56,22.13,22.38,23.04,21.5,23.06,22.17,22.77,21.91,21.45,22.91,21.43,,,
Taiwan,,,,,,,,,,,,9.49,,9.56,,,10.07,,,,,11.99,,12.85,,,14.66,,,13.54,,,13.01,13.69,13.58,13.84,13.82,15.18,,,
Denmark,,,,19.79,,,,,19.82,,,24.02,,,,,23.81,,,,24.2,,,,,,,,,,,29.12,29.03,28.86,28.64,28.5,28.53,28.18,27.61,,
France,,,,,,,,,,,,,18.64,18.71,18.42,18.35,18.28,18.26,17.18,17.38,17.1,17.04,17.25,17.5,16.64,17.73,17.96,18.37,18.84,18.26,18.34,18.88,19.09,19.0,19.19,18.97,19.03,18.43,18.42,,
Germany,11.79,11.69,11.6,11.34,11.86,11.46,11.48,12.64,12.29,11.76,13.01,12.58,12.17,12.46,12.15,12.95,12.98,12.79,13.56,14.06,14.39,15.41,15.56,15.68,15.34,16.27,16.08,15.82,17.01,17.35,17.36,17.38,17.39,17.42,17.9,18.7,18.26,18.03,19.46,,
Israel,,,20.74,,,,,,18.8,,,,,25.48,,,,27.7,28.76,28.79,28.88,28.12,27.19,27.32,26.8,27.57,27.26,26.87,25.82,23.71,25.16,24.74,24.13,24.08,23.52,23.98,24.81,24.63,,,
Netherlands,,,,,,,,,,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,14.97,14.33,14.27,,14.01,14.78,14.32,14.85,15.08,15.64,15.65,15.69,15.22,16.65,16.52,16.58,16.67,16.51,16.65,16.87,15.51,15.6,,,
United Kingdom,20.92,21.52,21.9,22.72,21.69,22.39,22.58,23.11,25.18,25.18,26.23,26.79,26.17,25.14,25.68,25.8,24.89,24.58,24.7,24.81,24.8,24.92,24.64,25.03,24.83,25.21,25.48,24.74,25.0,24.79,24.37,24.66,24.08,24.13,23.71,23.08,23.55,23.59,,,
United States,21.5,21.4,21.58,21.88,21.9,21.81,21.45,22.03,22.4,22.48,22.16,21.88,21.9,21.85,22.06,21.75,21.2,21.69,21.96,22.26,22.09,22.01,21.76,22.24,22.44,22.51,23.13,23.32,23.42,23.18,23.71,23.36,23.05,23.15,22.63,22.55,22.66,22.67,22.16,22.47,
